timestamp, source,"url","data"
1646913970.660298, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149306/fekt_360_1600.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '426', 'tabId': 31, 'timeStamp': 1646913970660.298, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149306/fekt_360_1600.jpg'}"
1646913970.660369, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149307/ceitec_640.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '427', 'tabId': 31, 'timeStamp': 1646913970660.369, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149307/ceitec_640.jpg'}"
1646913970.66052, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149308/cleanlab_1600.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '428', 'tabId': 31, 'timeStamp': 1646913970660.52, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149308/cleanlab_1600.jpg'}"
1646913970.660711, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149309/praxe_640.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '429', 'tabId': 31, 'timeStamp': 1646913970660.711, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149309/praxe_640.jpg'}"
1646913970.660856, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149311/rektor_Janicek_800.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '430', 'tabId': 31, 'timeStamp': 1646913970660.856, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/149311/rektor_Janicek_800.jpg'}"
1646913970.661006, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--lg--01.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '431', 'tabId': 31, 'timeStamp': 1646913970661.0059, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--lg--01.jpg'}"
1646913970.661299, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--sm--01.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '432', 'tabId': 31, 'timeStamp': 1646913970661.299, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--sm--01.jpg'}"
1646913970.661405, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--sm--02.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '433', 'tabId': 31, 'timeStamp': 1646913970661.405, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--sm--02.jpg'}"
1646913970.661752, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--sm--03.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '434', 'tabId': 31, 'timeStamp': 1646913970661.752, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--sm--03.jpg'}"
1646913970.661899, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--sm--04.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '435', 'tabId': 31, 'timeStamp': 1646913970661.8992, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--sm--04.jpg'}"
1646913970.662031, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--lg--02.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '436', 'tabId': 31, 'timeStamp': 1646913970662.031, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/img/illust/b-cta--lg--02.jpg'}"
1646913970.668153, Browser, TLS,"www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/148947/b-hero-header--01_1600.jpg","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '437', 'tabId': 31, 'timeStamp': 1646913970668.153, 'type': 'image', 'url': 'https://www.vut.cz/i/media/document_images/fotogalerie_doc/ostra/148947/b-hero-header--01_1600.jpg'}"
1646913970.668271, Browser, TLS,"www.vut.cz/i/images/layout_portal2018/img/bg/dots-pattern.png","{'frameId': 0, 'initiator': 'https://www.vut.cz', 'method': 'GET', 'parentFrameId': -1, 'requestId': '438', 'tabId': 31, 'timeStamp': 1646913970668.271, 'type': 'image', 'url': 'https://www.vut.cz/i/images/layout_portal2018/img/bg/dots-pattern.png'}"
